ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
KKCL.NS,2025-09-15,2025-09-22,574.29,False,2026-08-10,-8.83,-9.13,2025-11-24,ma_break,9,-12.05,-12.35
KMEW.NS,2025-11-24,2025-12-01,1401.5,False,2026-08-10,85.5,85.2,2026-08-10,52w_cap,36,85.5,85.2
KNRCON.NS,2017-09-18,2017-09-25,104.91,True,2018-09-24,-15.79,-16.09,2018-05-28,ma_break,35,40.05,39.75
KNRCON.NS,2019-03-04,2019-03-11,120.38,True,2020-03-09,-2.75,-3.05,2019-08-19,ma_break,23,-3.27,-3.57
KNRCON.NS,2020-08-17,2020-08-24,134.33,True,2021-08-23,135.93,135.63,2021-08-23,52w_cap,52,135.93,135.63
KNRCON.NS,2023-02-27,2023-03-06,268.72,True,2024-03-04,2.8,2.5,2023-04-17,ma_break,6,-9.48,-9.78
KNRCON.NS,2024-05-27,2024-06-03,348.2,True,2025-06-02,-39.45,-39.75,2024-10-14,ma_break,19,-8.65,-8.95
KOLTEPATIL.NS,2019-09-09,2019-09-16,259.61,True,2020-09-14,-37.55,-37.85,2019-11-25,ma_break,10,-15.17,-15.47
KOLTEPATIL.NS,2020-12-21,2020-12-28,232.65,True,2021-12-27,26.59,26.29,2021-05-03,ma_break,18,-10.29,-10.59
KOLTEPATIL.NS,2022-08-22,2022-08-29,290.58,True,2023-08-28,54.17,53.87,2022-12-26,ma_break,17,-16.1,-16.4
KOLTEPATIL.NS,2024-04-08,2024-04-15,544.93,True,2025-04-14,-38.49,-38.79,2024-05-13,ma_break,4,-10.83,-11.13
KOLTEPATIL.NS,2025-05-19,2025-05-26,425.0,True,2026-05-25,-13.73,-14.03,2025-11-10,ma_break,24,-1.95,-2.25
KOLTEPATIL.NS,2026-07-13,2026-07-20,377.05,False,2026-08-10,30.67,30.37,2026-08-10,52w_cap,3,30.67,30.37
KOTAKBANK.NS,2017-11-13,2017-11-20,203.22,True,2018-11-19,14.46,14.16,2018-01-08,ma_break,7,-1.4,-1.7
KOTAKBANK.NS,2019-03-11,2019-03-18,266.28,True,2020-03-16,-5.74,-6.04,2020-03-16,ma_break,52,5.8,5.5
KOTAKBANK.NS,2020-10-26,2020-11-02,309.17,True,2021-11-01,32.35,32.05,2021-04-19,ma_break,24,10.61,10.31
KOTAKBANK.NS,2022-05-23,2022-05-30,386.96,True,2023-05-29,-0.27,-0.57,2022-06-13,ma_break,2,-10.4,-10.7
KOTAKBANK.NS,2024-12-30,2025-01-06,363.15,True,2026-01-05,16.93,16.63,2025-01-13,ma_break,1,-4.84,-5.14
