ticker,signal_date,entry_date,ret_pct,win,idx_above_40wma,idx_off_52wk_high,idx_13wk_ret,idx_52wk_ret,idx_weeks_above_40wma,breadth,mrs,pct_above_ma30,ma30_slope_pct,pct_off_52wk_high,pct_above_52wk_low,vol_surge_x,prior_52wk_ret,weeks_above_ma30,mcap_cr,price,candle_bullish,candle_body_pct,candle_range_pct,range_expansion_x,close_position,body_share_of_range,gap_pct,weeks_listed,listing_censored,ma_break_week
EVEREADY.NS,2023-08-14,2023-08-21,37.18,False,True,-2.2,6.08,8.74,17,70,0.043,9.76,-0.71,-5.92,24.56,1.1,-1.17,12,2531.0,348.93,False,-2.6,6.12,1.0,0.299,0.445,2.89,447,True,11
EVEREADY.NS,2024-10-28,2024-11-04,-8.4,False,True,-7.16,-1.67,26.38,80,88,0.255,2.53,2.7,-16.01,23.87,0.19,13.13,1,2904.0,400.31,True,6.75,9.48,0.91,0.879,0.723,0.12,510,True,0
EXIDEIND.NS,2018-03-19,2018-03-26,2.33,False,False,-9.68,-4.72,9.77,0,16,0.015,2.51,0.4,-10.7,7.64,1.26,1.4,2,16618.0,199.36,True,1.55,4.62,0.84,0.736,0.342,-0.35,165,True,27
EXIDEIND.NS,2022-09-05,2022-09-12,56.28,True,True,-2.75,10.07,2.67,7,79,0.287,12.72,-0.62,-6.87,25.79,3.64,-4.82,7,13963.0,167.51,True,7.0,10.12,2.2,0.715,0.693,0.38,398,True,-1
FACT.NS,2017-08-28,2017-09-04,0.18,False,True,-0.91,3.32,13.22,34,44,1.02,0.02,1.46,-29.34,98.35,0.36,85.27,1,2681.0,42.01,True,5.38,14.73,1.02,0.605,0.377,3.36,136,True,2
FACT.NS,2019-06-03,2019-06-10,-0.53,False,True,-0.44,7.57,10.24,14,47,0.466,16.84,0.69,-11.11,39.02,1.03,-15.06,2,2799.0,43.86,True,0.46,5.71,0.65,0.833,0.083,3.91,228,True,1
FACT.NS,2020-10-19,2020-10-26,141.76,True,True,-3.42,6.58,2.99,15,28,0.47,7.31,5.26,-5.69,78.62,3.24,21.34,1,3056.0,47.89,True,10.59,30.14,2.96,0.407,0.357,2.36,300,True,46
FACT.NS,2021-12-27,2022-01-03,165.48,True,True,-5.37,-1.02,23.79,77,35,0.417,4.61,-0.73,-8.47,73.49,4.35,117.39,1,8387.0,131.42,True,13.52,22.42,2.22,0.689,0.613,0.0,362,True,6
FACT.NS,2024-06-10,2024-06-17,30.81,False,True,0.0,6.55,24.64,60,101,0.696,5.76,0.13,-12.06,87.99,5.18,109.07,1,49703.0,778.82,True,10.62,15.71,1.46,0.726,0.681,0.71,490,True,18
FACT.NS,2025-06-16,2025-06-23,-12.37,False,True,-4.07,7.55,6.86,9,52,1.096,20.99,2.26,-6.17,70.59,0.52,-9.87,6,65165.0,1021.1,True,0.44,7.52,0.78,0.52,0.061,0.16,543,True,17
FAIRCHEMOR.NS,2022-08-08,2022-08-15,-44.05,False,True,-3.49,12.14,7.07,3,45,1.064,21.92,-0.58,-11.42,48.54,5.99,-0.47,2,2312.0,1872.55,True,21.81,27.49,3.11,0.802,0.795,0.03,85,False,12
FCL.NS,2023-05-22,2023-05-29,17.34,False,True,-1.05,5.92,13.13,5,63,0.765,15.34,-5.26,-21.79,83.43,5.42,68.23,1,3578.0,29.52,True,8.71,17.73,2.54,0.746,0.512,7.87,435,True,49
FCL.NS,2024-06-17,2024-06-24,-28.13,False,True,0.0,6.36,25.91,61,111,0.2,5.4,1.48,-11.5,42.88,1.06,34.38,1,4694.0,38.73,True,8.71,13.96,1.33,0.72,0.631,-0.0,491,True,2
FDC.NS,2017-11-27,2017-12-04,-16.57,False,True,-3.16,1.48,25.16,47,50,0.027,14.85,0.68,-6.47,24.69,0.47,-2.14,7,3302.0,205.43,True,3.48,5.47,0.9,0.637,0.637,-1.81,149,True,22
FDC.NS,2019-11-11,2019-11-18,73.61,True,True,-0.23,7.67,11.36,5,27,0.203,7.62,0.85,-7.51,21.17,3.55,-3.26,4,2878.0,179.06,False,-2.13,10.65,1.59,0.475,0.214,5.65,251,True,18
FDC.NS,2022-10-03,2022-10-10,35.87,False,True,-5.58,6.74,-3.24,11,47,0.133,8.39,-0.12,-19.97,22.16,2.1,-19.92,7,4452.0,276.95,True,6.84,10.36,1.73,0.765,0.667,0.51,402,True,10
FDC.NS,2024-06-10,2024-06-17,-0.65,False,True,0.0,6.55,24.64,60,101,0.158,6.15,2.42,-4.67,48.67,0.48,49.27,61,7246.0,450.75,True,3.7,5.74,0.79,0.717,0.646,0.42,490,True,21
FDC.NS,2025-07-07,2025-07-14,-15.63,False,True,-3.93,10.17,2.64,12,140,0.131,12.3,-0.69,-15.18,31.28,1.46,3.11,5,7957.0,495.04,True,0.93,3.62,0.53,0.256,0.256,1.5,546,True,13
FEDERALBNK.NS,2018-12-10,2018-12-17,-3.19,False,True,-7.49,-6.16,4.57,1,24,0.3,12.1,-1.05,-19.77,33.6,1.28,-14.34,3,21116.0,85.79,True,11.83,13.13,1.8,0.953,0.906,-2.28,203,True,8
FEDERALBNK.NS,2021-01-04,2021-01-11,31.25,False,True,0.0,20.42,17.06,26,61,0.079,33.19,6.02,-21.09,102.81,1.11,-14.7,15,17761.0,72.16,True,9.78,11.63,1.62,0.869,0.844,1.4,311,True,31
FEDERALBNK.NS,2022-01-10,2022-01-17,37.09,False,True,-0.45,-0.45,26.48,79,36,0.369,12.81,0.41,-4.23,39.22,1.22,36.75,2,23518.0,95.55,True,8.33,11.24,1.56,0.767,0.743,0.55,364,True,15
