ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
ADANIPORTS.NS,2020-10-26,2020-11-02,347.99,True,2021-11-01,99.64,99.34,2021-07-26,ma_break,38,90.21,89.91
ADANIPORTS.NS,2022-03-28,2022-04-04,769.97,True,2023-04-03,-18.33,-18.63,2022-05-16,ma_break,6,-9.61,-9.91
ADANIPORTS.NS,2023-08-14,2023-08-21,828.97,True,2024-08-19,78.28,77.98,2024-08-19,52w_cap,52,78.28,77.98
ADANIPORTS.NS,2025-05-12,2025-05-19,1394.81,True,2026-05-18,27.57,27.27,2026-01-19,ma_break,35,1.45,1.15
ADANIPOWER.NS,2022-01-10,2022-01-17,23.6,True,2023-01-16,133.09,132.79,2022-11-28,ma_break,45,177.2,176.9
ADANIPOWER.NS,2023-08-14,2023-08-21,61.34,True,2024-08-19,120.35,120.05,2024-08-19,52w_cap,52,120.35,120.05
ADANIPOWER.NS,2025-07-07,2025-07-14,120.82,True,2026-07-13,77.5,77.2,2026-01-26,ma_break,28,10.05,9.75
ADFFOODS.NS,2024-02-26,2024-03-04,213.84,True,2025-03-03,10.44,10.14,2024-03-11,ma_break,1,-4.33,-4.63
ADFFOODS.NS,2025-06-09,2025-06-16,273.94,True,2026-06-15,11.77,11.47,2025-08-04,ma_break,7,-14.09,-14.39
ADOR.NS,2025-10-13,2025-10-20,1159.98,False,2026-08-10,27.48,27.18,2026-01-26,ma_break,14,-15.05,-15.35
ADVENZYMES.NS,2023-05-08,2023-05-15,281.94,True,2024-05-13,29.95,29.65,2024-04-01,ma_break,46,17.73,17.43
ADVENZYMES.NS,2024-06-10,2024-06-17,385.35,True,2025-06-16,-16.32,-16.62,2024-07-22,ma_break,5,-5.53,-5.83
ADVENZYMES.NS,2025-07-28,2025-08-04,352.48,True,2026-08-03,-7.98,-8.28,2025-10-13,ma_break,10,-13.42,-13.72
ADVENZYMES.NS,2026-08-03,2026-08-10,322.7,False,2026-08-10,-6.52,-6.82,2026-08-10,52w_cap,0,-6.52,-6.82
AEGISLOG.NS,2017-09-04,2017-09-11,193.91,True,2018-09-10,0.72,0.42,2018-03-12,ma_break,26,15.98,15.68
AEGISLOG.NS,2020-01-13,2020-01-20,200.3,True,2021-01-18,32.05,31.75,2020-03-16,ma_break,8,-16.37,-16.67
AEGISLOG.NS,2021-01-18,2021-01-25,265.75,True,2022-01-24,-27.41,-27.71,2021-08-09,ma_break,28,-1.56,-1.86
AEGISLOG.NS,2022-07-18,2022-07-25,246.93,True,2023-07-24,45.61,45.31,2023-06-05,ma_break,45,30.9,30.6
AEGISLOG.NS,2023-07-24,2023-07-31,364.5,True,2024-07-29,98.56,98.26,2023-08-21,ma_break,3,-4.47,-4.77
AEGISLOG.NS,2025-09-29,2025-10-06,864.39,False,2026-08-10,46.29,45.99,2025-11-03,ma_break,4,-13.68,-13.98
AEGISVOPAK.NS,2026-06-15,2026-06-22,239.73,False,2026-08-10,14.11,13.81,2026-08-10,52w_cap,7,14.11,13.81
AEROFLEX.NS,2024-08-19,2024-08-26,180.37,True,2025-08-25,-5.6,-5.9,2025-02-24,ma_break,26,5.64,5.34
AEROFLEX.NS,2025-12-22,2025-12-29,202.49,False,2026-08-10,120.53,120.23,2026-01-12,ma_break,2,-9.71,-10.01
AETHER.NS,2023-06-05,2023-06-12,1015.0,True,2024-06-10,-15.77,-16.07,2023-09-25,ma_break,15,-3.35,-3.65
AETHER.NS,2025-03-03,2025-03-10,903.6,True,2026-03-09,10.72,10.42,2025-03-31,ma_break,3,-8.03,-8.33
AFFLE.NS,2020-07-27,2020-08-03,339.4,True,2021-08-02,145.21,144.91,2021-06-21,ma_break,46,165.17,164.87
AFFLE.NS,2021-09-20,2021-09-27,1079.91,True,2022-09-26,16.78,16.48,2022-05-09,ma_break,32,0.93,0.63
AFFLE.NS,2023-11-27,2023-12-04,1154.95,True,2024-12-02,55.39,55.09,2024-02-12,ma_break,10,-2.26,-2.56
AFFLE.NS,2026-08-03,2026-08-10,1640.0,False,2026-08-10,2.01,1.71,2026-08-10,52w_cap,0,2.01,1.71
AFSL.NS,2024-04-08,2024-04-15,424.0,True,2025-04-14,-57.52,-57.82,2024-09-16,ma_break,22,-11.56,-11.86
AGI.NS,2024-02-26,2024-03-04,877.83,True,2025-03-03,-19.13,-19.43,2024-03-11,ma_break,1,-6.27,-6.57
AGI.NS,2025-07-21,2025-07-28,933.04,True,2026-07-27,-23.99,-24.29,2025-10-27,ma_break,13,-11.23,-11.53
AGIIL.NS,2025-07-07,2025-07-14,206.5,True,2026-07-13,63.39,63.09,2026-02-02,ma_break,29,20.97,20.67
AHLUCONT.NS,2021-06-28,2021-07-05,403.93,True,2022-07-04,4.17,3.87,2022-02-14,ma_break,32,-6.64,-6.94
AHLUCONT.NS,2022-12-12,2022-12-19,476.03,True,2023-12-18,68.06,67.76,2023-12-18,52w_cap,52,68.06,67.76
AHLUCONT.NS,2024-09-16,2024-09-23,1226.95,True,2025-09-22,-20.78,-21.08,2024-09-30,ma_break,1,-6.02,-6.32
AHLUCONT.NS,2025-11-17,2025-11-24,991.85,False,2026-08-10,-18.43,-18.73,2025-12-15,ma_break,3,-2.84,-3.14
AIAENG.NS,2017-12-11,2017-12-18,1572.85,True,2018-12-17,-1.77,-2.07,2018-02-05,ma_break,7,-13.97,-14.27
AIAENG.NS,2019-03-25,2019-04-01,1724.96,True,2020-03-30,-27.5,-27.8,2019-05-20,ma_break,7,-8.33,-8.63
AIAENG.NS,2020-08-10,2020-08-17,1674.45,True,2021-08-16,14.63,14.33,2021-03-01,ma_break,28,6.61,6.31
AIAENG.NS,2022-04-25,2022-05-02,1908.53,True,2023-05-01,42.11,41.81,2022-05-16,ma_break,2,-6.04,-6.34
AIAENG.NS,2024-01-08,2024-01-15,3734.45,True,2025-01-13,-6.73,-7.03,2024-03-18,ma_break,9,-4.04,-4.34
AIAENG.NS,2025-11-10,2025-11-17,3693.0,False,2026-08-10,22.47,22.17,2026-03-23,ma_break,18,-7.94,-8.24
AIIL.NS,2025-04-21,2025-04-28,350.72,True,2026-04-27,34.52,34.22,2025-11-24,ma_break,30,51.69,51.39
AIIL.NS,2026-06-08,2026-06-15,531.0,False,2026-08-10,4.48,4.18,2026-08-10,52w_cap,8,4.48,4.18
AJANTPHARM.NS,2020-01-13,2020-01-20,704.37,True,2021-01-18,52.58,52.28,2021-01-18,52w_cap,52,52.58,52.28
AJANTPHARM.NS,2021-05-03,2021-05-10,1261.34,True,2022-05-09,-14.83,-15.13,2021-11-29,ma_break,29,4.97,4.67
AJANTPHARM.NS,2023-04-03,2023-04-10,1206.13,True,2024-04-08,70.31,70.01,2024-04-08,52w_cap,52,70.31,70.01
AJANTPHARM.NS,2024-07-22,2024-07-29,2334.55,True,2025-07-28,13.13,12.83,2024-12-16,ma_break,20,18.29,17.99
AJANTPHARM.NS,2025-12-29,2026-01-05,2950.37,False,2026-08-10,20.02,19.72,2026-08-10,52w_cap,31,20.02,19.72
AJAXENGG.NS,2026-05-18,2026-05-25,569.95,False,2026-08-10,-0.69,-0.99,2026-08-10,52w_cap,11,-0.69,-0.99
AJMERA.NS,2024-10-14,2024-10-21,174.26,True,2025-10-20,17.43,17.13,2025-02-17,ma_break,17,-2.81,-3.11
AKUMS.NS,2026-03-02,2026-03-09,472.07,False,2026-08-10,58.86,58.56,2026-08-10,52w_cap,22,58.86,58.56
ALEMBICLTD.NS,2021-04-19,2021-04-26,98.04,True,2022-04-25,-29.78,-30.08,2021-08-16,ma_break,16,1.66,1.36
ALEMBICLTD.NS,2024-05-13,2024-05-20,94.95,True,2025-05-19,11.73,11.43,2024-10-28,ma_break,23,20.48,20.18
ALIVUS.NS,2023-04-10,2023-04-17,401.78,True,2024-04-15,98.72,98.42,2024-04-15,52w_cap,52,98.72,98.42
ALKEM.NS,2017-12-04,2017-12-11,1996.98,True,2018-12-10,-13.12,-13.42,2018-04-02,ma_break,16,-8.37,-8.67
ALKEM.NS,2021-07-19,2021-07-26,3220.89,True,2022-07-25,-4.05,-4.35,2021-12-06,ma_break,19,1.44,1.14
ALKEM.NS,2023-02-06,2023-02-13,3203.07,True,2024-02-12,66.58,66.28,2024-02-12,52w_cap,52,66.58,66.28
ALKEM.NS,2024-08-05,2024-08-12,5738.0,True,2025-08-11,-7.72,-8.02,2024-11-18,ma_break,14,-5.13,-5.43
ALKEM.NS,2025-08-18,2025-08-25,5376.95,False,2026-08-10,1.92,1.62,2026-02-16,ma_break,25,0.82,0.52
ALKYLAMINE.NS,2025-06-16,2025-06-23,2046.35,True,2026-06-22,-12.59,-12.89,2025-10-06,ma_break,15,-8.39,-8.69
ALLCARGO.NS,2017-12-18,2017-12-25,41.73,True,2018-12-24,-43.81,-44.11,2018-02-19,ma_break,8,-10.75,-11.05
ALLCARGO.NS,2019-03-11,2019-03-18,26.87,True,2020-03-16,-42.93,-43.23,2019-05-06,ma_break,7,-13.98,-14.28
ALLCARGO.NS,2020-07-06,2020-07-13,21.6,True,2021-07-12,76.62,76.32,2021-03-29,ma_break,37,36.94,36.64
ALLCARGO.NS,2022-08-22,2022-08-29,78.93,True,2023-08-28,-16.29,-16.59,2023-02-20,ma_break,25,4.13,3.83
ALLCARGO.NS,2024-01-01,2024-01-08,88.88,True,2025-01-06,-50.01,-50.31,2024-03-18,ma_break,10,-25.61,-25.91
ALOKINDS.NS,2021-12-20,2021-12-27,25.3,True,2022-12-26,-38.54,-38.84,2022-02-28,ma_break,9,-7.11,-7.41
AMBER.NS,2019-09-02,2019-09-09,818.84,True,2020-09-07,116.17,115.87,2020-04-13,ma_break,31,23.11,22.81
AMBER.NS,2021-06-21,2021-06-28,2989.0,True,2022-06-27,-21.81,-22.11,2021-08-09,ma_break,6,-1.64,-1.94
AMBER.NS,2023-06-19,2023-06-26,2263.95,True,2024-06-24,99.73,99.43,2024-06-03,ma_break,49,65.42,65.12
AMBER.NS,2026-02-09,2026-02-16,7760.0,False,2026-08-10,-9.99,-10.29,2026-03-16,ma_break,4,-16.93,-17.23
AMBUJACEM.NS,2019-03-04,2019-03-11,201.67,True,2020-03-09,-17.2,-17.5,2019-05-13,ma_break,9,-5.58,-5.88
AMBUJACEM.NS,2021-10-25,2021-11-01,390.68,True,2022-10-31,40.51,40.21,2021-11-29,ma_break,4,-8.87,-9.17
AMBUJACEM.NS,2023-12-04,2023-12-11,492.15,True,2024-12-09,15.38,15.08,2024-09-02,ma_break,38,24.9,24.6
AMBUJACEM.NS,2025-09-15,2025-09-22,582.12,False,2026-08-10,-27.68,-27.98,2025-10-20,ma_break,4,-2.56,-2.86
